,Name,Symbol,Revenue(USD Millions),Revenue_Growth,Employees,City,State,Industry_1,Industry_2,Operating_Income_Amount,Operating_Income_FY,Net_Income_Amount,Net_Income_FY,Assets_Amount,Assets_FY,Equity_Amount,Equity_FY,Profit
0,Walmart,WMT,572754,0.02,"2,300,000",Bentonville,AR,Retail,,25900.0,2022,13670.0,2022,244860.0,2022,91891.0,2022,
1,Amazon,AMZN,469822,0.22,"1,608,000",Seattle,WA,Retail , Cloud Computing,24879.0,2021,33364.0,2021,420549.0,2021,138245.0,2021,33364
2,Apple,AAPL,365817,0.33,"154,000",Cupertino,CA,Electronics industry,,108950.0,2021,94680.0,2021,351020.0,2021,63090.0,2021,94680
3,CVS Health,CVS,292111,0.32,"258,000",Woonsocket,RI,Healthcare,,14980.0,2021,7910.0,2021,232990.0,2021,75380.0,2021,
4,UnitedHealth Group,UNH,287597,0.12,"350,000",Minnetonka,MN,Healthcare,,21646.0,2021,17285.0,2021,212206.0,2021,75045.0,2021,17285
5,Exxon Mobil,XOM,285640,0.57,"63,000",Irving,TX,Petroleum industry,,24019.0,2021,23040.0,2021,338923.0,2021,168577.0,2021,
6,Berkshire Hathaway,BRK.A,276094,0.12,"372,000",Omaha,NE,Conglomerate,,111700.0,2021,89800.0,2021,958800.0,2021,514900.0,2021,89795
7,Alphabet,GOOGL,257637,0.41,"156,000",Mountain View,CA,Technology,,78700.0,2021,,,359300.0,2021,251600.0,2021,76033
8,McKesson Corporation,MCK,238228,0.03,"67,500",Irving,TX,Healthcare,,1120.0,2020,1126.0,2020,61247.0,2020,5092.0,2020,
9,AmerisourceBergen,ABC,213989,0.13,"40,000",Chesterbrook,PA,Pharmaceutical industry,,2350.0,2021,1540.0,2021,57340.0,2021,223.0,2021,
10,Microsoft,MSFT,198087,0.18,"181,000",Redmond,WA,Technology,,83400.0,2022,72700.0,2022,364800.0,2022,166500.0,2022,61271
11,Costco,COST,195929,0.18,"288,000",Issaquah,WA,Retail,,6710.0,2021,5000.0,2021,59270.0,2021,17560.0,2021,
12,Cigna,CI,174078,0.08,"72,963",Bloomfield,CT,Health Insurance,,,,,,154889.0,2021,47112.0,2021,
13,AT&T,T,168864,0.02,"202,600",Dallas,TX,Conglomerate,,23350.0,2021,20080.0,2021,551620.0,2021,183860.0,2021,20081
14,Cardinal Health,CAH,162467,0.06,"46,827",Dublin,OH,Healthcare,,1770.0,2020,611.0,2021,44450.0,2021,6330.0,2020,
15,Chevron Corporation,CVX,162465,0.72,"42,595",San Ramon,CA,Petroleum industry,,21640.0,2021,15630.0,2021,239540.0,2021,139940.0,2021,
16,The Home Depot,HD,151157,0.14,"490,600",Atlanta,GA,Retail,,23040.0,2021,16430.0,2021,71880.0,2021,-1700.0,2021,
17,Walgreens Boots Alliance,WBA,148579,0.06,"258,500",Deerfield,IL,Pharmaceutical industry,,,,,,81300.0,2021,23800.0,2021,
18,Marathon Petroleum,MPC,141032,0.58,"17,700",Findlay,OH,Petroleum industry,,12247.0,2020,9977.0,2020,85158.0,2020,29252.0,2020,
19,Elevance Health,ELV,138639,0.14,"98,200",Indianapolis,IN,Healthcare,,7930.0,2021,,,97460.0,2021,36130.0,2021,
20,Kroger,KR,137888,0.04,"420,000",Cincinnati,OH,Retail,,3477.0,2022,1655.0,2022,49086.0,2022,9452.0,2022,
21,Ford Motor Company,F,136341,0.07,"183,000",Dearborn,MI,Automotive industry,,,,17900.0,2021,257000.0,2021,48600.0,2021,17937
22,Verizon Communications,VZ,133613,0.04,"118,400",New York City,NY,Telecommunications,,32450.000000000004,2021,22620.0,2021,366600.0,2021,83200.0,2021,
23,JPMorgan Chase,JPM,127202,0.02,"271,025",New York City,NY,Financial services,,59560.0,2021,48330.0,2021,,,294120.0,2021,48334
24,General Motors,GM,127004,0.04,"157,000",Detroit,MI,Automotive,,9324.0,2021,9945.0,2021,244718.0,2021,65815.0,2021,
25,Centene,CNC,125982,0.13,"72,500",St. Louis,MO,Healthcare,,3082.0,2020,1808.0,2020,68719.0,2020,25885.0,2020,
26,Meta Platforms,META,117385,0.37,"71,970",Menlo Park,CA,Technology,,46753.0,2021,39370.0,2021,165987.0,2021,124879.0,2021,
27,Comcast,CMCSA,116385,0.12,"189,000",Philadelphia,PA,Telecommunications,,20800.0,2021,14160.0,2021,275900.0,2021,97490.0,2021,
28,Phillips 66,PSX,114852,0.75,"14,000",Houston,TX,Petroleum industry,,1838.0,2017,3076.0,2019,58720.0,2019,25085.0,2017,
29,Valero Energy,VLO,108332,0.8,"9,804",San Antonio,TX,Petroleum industry,,4572.0,2018,4156.0,2018,50158.0,2018,21667.0,2018,
30,Dell Technologies,DELL,106995,0.14,"133,000",Round Rock,TX,Technology,,5144.0,2021,3505.0,2021,123415.0,2021,7553.0,2021,
31,Target Corporation,TGT,106005,0.13,"450,000",Minneapolis,MN,Retail,,6539.0,2021,4368.0,2021,51248.0,2021,14440.0,2021,
32,Fannie Mae,FNMA,101543,0.05,"7,400",Washington,DC,Financials,,,,22180.0,2021,,,47360.0,2021,22176
33,United Parcel Service,UPS,97287,0.15,"400,945",Atlanta,GA,Transportation,,12810.0,2021,12890.0,2021,69410.0,2021,14250.0,2021,
34,Lowe's,LOW,96250,0.07,"270,000",Mooresville,NC,Retail,,6314.0,2020,4281.0,2020,39471.0,2020,1972.0,2020,
35,Bank of America,BAC,93851,0.0,"208,248",Charlotte,NC,Financials,,33980.0,2021,30560.0,2021,,,273757.0,2021,31978
36,Johnson & Johnson,JNJ,93775,0.14,"141,700",New Brunswick,NJ,Pharmaceutical industry,,22776.0,2021,28878.0,2021,182018.0,2021,74025.0,2021,20878
37,Archer Daniels Midland,ADM,85959,0.32,"39,979",Chicago,IL,Food industry,,,,2709.0,/2022,49719.0,/2022,,,
38,FedEx,FDX,83959,0.21,"484,000",Memphis,TN,Transportation,,5857.0,2021,5231.0,2021,82777.0,2021,24168.0,2021,
39,Humana,HUM,83064,0.08,"95,500",Louisville,KY,Health Insurance,,3150.0,2021,2930.0,2021,44360.0,2021,16100.000000000002,2021,
40,Wells Fargo,WFC,82407,0.03,"247,848",San Francisco,CA,Financials,,28820.0,2021,21548.0,2021,,,190100.0,2021,21548
41,State Farm,Null,82407,0.04,"53,586",Bloomington,IL,Financials,,,,5593.0,2019,294820.0,2019,116230.0,2019,
42,Pfizer,PFE,81288,0.94,"79,000",New York City,NY,Pharmaceutical industry,,22460.0,2021,21980.0,2021,181480.0,2021,77460.0,2021,21979
43,Citigroup,C,79865,0.1,"221,768",New York City,NY,Financials,,27470.0,2021,,,,,202000.0,2021,21952
44,PepsiCo,PEP,79474,0.13,"309,000",Purchase,NY,Beverage,,10290.0,2020,7353.0,2019,78550.0,2019,14870.0,2019,
45,Intel,INTC,79024,0.02,"121,100",Santa Clara,CA,Technology,,19460.0,2021,19870.0,2021,168410.0,2021,95390.0,2021,19868
46,Procter & Gamble,PG,76118,0.07,"101,000",Cincinnati,OH,Consumer products Manufacturing,,18790.0,2021,14310.0,2021,119300.0,2021,46650.0,2021,
47,General Electric,GE,74196,0.07,"168,000",Boston,MA,Conglomerate,,-3683.0,2021,-6591.0,2021,198874.0,2021,40310.0,2021,
48,IBM,IBM,72344,0.02,"297,800",Armonk,NY,Technology,,6860.0,2021,5740.0,2021,132000.0,2021,18990.0,2021,
49,MetLife,MET,71080,0.05,"43,000",New York City,NY,Financials,,8130.000000000001,2021,6550.0,2021,759710.0,2021,67750.0,2021,
50,Prudential Financial,PRU,70934,0.24,"40,916",Newark,NJ,Financials,,-323.0,2020,-374.0,2020,940722.0,2020,68210.0,2020,
51,Albertsons,ACI,69690,0.12,"300,000",Boise,ID,Retail,,1437.0,2020,466.4,2020,24735.0,2020,2278.0,2020,
52,The Walt Disney Company,DIS,67418,0.03,"171,000",Burbank,CA,Media,,7766.0,2021,1995.0,2021,203609.0,2021,93011.0,2021,
53,Energy Transfer Partners,ET,67418,0.73,"12,558",Dallas,TX,Petroleum industry,,,,647.0,2020,95144.0,2020,31388.0,2020,
54,Lockheed Martin,LMT,67044,0.02,"114,000",Bethesda,MD,Aerospace , Defense,9120.0,2021,6320.0,2021,50870.0,2021,10960.0,2021,
55,Freddie Mac,FMCC,65898,0.0,"7,301",McLean,VA,Financials,,,,9235.0,2018,,,4477.0,2018,
56,Goldman Sachs,GS,64989,0.03,"43,900",New York City,NY,Financials,,27000.0,2021,21600.0,2021,,,109900.0,2021,21635
57,Raytheon Technologies,RTX,64388,0.14,"174,000",Waltham,MA,Conglomerate,,4960.0,2021,3860.0,2021,161400.0,2021,74660.0,2021,
58,HP,HPQ,63487,0.12,"51,000",Palo Alto,CA,Technology,,5300.0,2021,6500.0,2020,38610.0,2021,-1650.0,2021,
59,Boeing,BA,62286,0.07,"142,000",Chicago,IL,Aerospace , defense,-2900.0,2021,-4290.0,2021,138500.0,2021,-14840.0,2021,
60,Morgan Stanley,MS,61121,0.17,"74,814",New York City,NY,Financials,,19700.0,2021,15100.0,2021,1118000.0,2021,105440.0,2021,
61,HCA Healthcare,HCA,58752,0.14,"244,000",Nashville,TN,Healthcare,,,,3759.0,2020,,,,,
62,AbbVie,ABBV,56197,0.23,"50,000",Lake Bluff,IL,Pharmaceutical industry,,17920.0,2021,11540.0,2021,146530.0,2021,15440.0,2021,
63,Dow Chemical Company,Null,54968,0.43,"35,700",Midland,MI,Chemical industry,,,,,,,,,,
64,Tesla,TSLA,53823,0.71,"99,290",Austin,TX,Automotive , Energy,6520.0,2021,5520.0,2021,62100.0,2021,30200.0,2021,
65,Allstate,ALL,53228,0.19,"54,500",Northfield Township,IL,Insurance,,6089.0,2019,4847.0,2019,119950.0,2019,25998.0,2019,
66,AIG,AIG,52057,0.19,"36,600",New York City,NY,Insurance,,5920.0,2021,9359.0,2021,596110.0,2021,65960.0,2021,
