FINANCIALS_ID,STOCK_SYMBOL,FISCAL_YEAR,REVENUE,PROFIT,OPERATING_INCOME,NET_INCOME,ASSETS,EQUITY
1,AAPL,0,365817.00,94680.00,0.00,0.00,0.00,0.00
2,AAPL,2021,0.00,0.00,108950.00,94680.00,351020.00,63090.00
3,ABBV,0,56197.00,0.00,0.00,0.00,0.00,0.00
4,ABBV,2021,0.00,0.00,17920.00,11540.00,146530.00,15440.00
5,ABC,0,213989.00,0.00,0.00,0.00,0.00,0.00
6,ABC,2021,0.00,0.00,2350.00,1540.00,57340.00,223.00
7,ABT,0,43075.00,0.00,0.00,0.00,0.00,0.00
8,ABT,2021,0.00,0.00,8430.00,7070.00,75200.00,35800.00
9,ACI,0,69690.00,0.00,0.00,0.00,0.00,0.00
10,ACI,2020,0.00,0.00,1437.00,466.40,24735.00,2278.00
11,ADM,0,85959.00,0.00,0.00,0.00,0.00,0.00
12,AIG,2021,0.00,0.00,5920.00,9359.00,596110.00,65960.00
13,AIG,0,52057.00,0.00,0.00,0.00,0.00,0.00
14,ALL,2019,0.00,0.00,6089.00,4847.00,119950.00,25998.00
15,ALL,0,53228.00,0.00,0.00,0.00,0.00,0.00
16,AMZN,0,469822.00,33364.00,0.00,0.00,0.00,0.00
17,AMZN,2021,0.00,0.00,24879.00,33364.00,420549.00,138245.00
18,AXP,0,43663.00,0.00,0.00,0.00,0.00,0.00
19,AXP,2021,0.00,0.00,0.00,8060.00,188550.00,22180.00
20,AXP,2020,0.00,0.00,4300.00,0.00,0.00,0.00
21,BA,0,62286.00,0.00,0.00,0.00,0.00,0.00
22,BAC,2021,0.00,0.00,33980.00,30560.00,0.00,273757.00
23,BAC,0,93851.00,31978.00,0.00,0.00,0.00,0.00
24,BBY,0,51761.00,0.00,0.00,0.00,0.00,0.00
25,BBY,2022,0.00,0.00,3040.00,2450.00,17500.00,3020.00
26,BMY,2021,0.00,0.00,7380.00,6990.00,109310.00,35950.00
27,BMY,0,46385.00,0.00,0.00,0.00,0.00,0.00
28,BRK.A,2021,0.00,0.00,111700.00,89800.00,958800.00,514900.00
29,BRK.A,0,276094.00,89795.00,0.00,0.00,0.00,0.00
30,C,0,79865.00,21952.00,0.00,0.00,0.00,0.00
31,C,2021,0.00,0.00,27470.00,22000.00,0.00,202000.00
32,CAH,2021,0.00,0.00,0.00,611.00,44450.00,0.00
33,CAH,0,162467.00,0.00,0.00,0.00,0.00,0.00
34,CAH,2020,0.00,0.00,1770.00,0.00,0.00,6330.00
