,Name,Symbol,Industry,Revenue(USD Millions),Revenue_Growth,Operating_Income,Net_Income,Assets,Equity,Employees,Headquarters
0,Walmart,WMT,Retail,"572,754",  2.4%, US$25.9 billion (FY2022)[5], US$13.67 billion (FY2022)[5],  US$244.86 billion (FY2022)[5] , US$91.891 billion (FY2022)[5],"2,300,000","Bentonville, Arkansas"
1,Amazon,AMZN,Retail and Cloud Computing,"469,822",  21.7%, US$24.879 billion (2021), US$33.364 billion (2021), US$420.549 billion (2021), US$138.245 billion (2021),"1,608,000","Seattle, Washington"
2,Apple,AAPL,Electronics industry,"365,817",  33.2%, US$108.95 billion (2021), US$94.68 billion (2021), US$351.02 billion (2021), US$63.09 billion (2021),"154,000","Cupertino, California"
3,CVS Health,CVS,Healthcare,"292,111",  32.0%, US$14.98 billion[2] (2021), US$7.91 billion[2] (2021), US$232.99 billion[2] (2021), US$75.38 billion[2] (2021),"258,000","Woonsocket, Rhode Island"
4,UnitedHealth Group,UNH,Healthcare,"287,597",  11.8%, US$21.646 billion[1] (2021), US$17.285 billion[1] (2021), US$212.206 billion[1] (2021), US$75.045 billion[1] (2021),"350,000","Minnetonka, Minnesota"
5,Exxon Mobil,XOM,Petroleum industry,"285,640",  57.4%, US$24.019 billion (2021)[1], US$23.040 billion (2021)[1], US$338.923 billion (2021)[1], US$168.577 billion (2021)[1],"63,000","Irving, Texas"
6,Berkshire Hathaway,BRK.A,Conglomerate,"276,094",  12.5%, US$111.7 billion (2021), US$89.8 billion (2021), US$958.8 billion (2021), US$514.9 billion (2021),"372,000","Omaha, Nebraska"
7,Alphabet,GOOGL,Technology,"257,637",  41.2%, US$78.7 billion (2021), US$76 billion (2021), US$359.3 billion (2021), US$251.6 billion (2021),"156,000","Mountain View, California"
8,McKesson Corporation,MCK,Healthcare,"238,228",  3.1%, US$1.120 billion (2020)[1]: 35 , US$1.126 billion (2020)[1]: 35 , US$61.247 billion (2020)[1]: 35 , US$5.092 billion (2020)[1]: 35 ,"67,500","Irving, Texas"
9,AmerisourceBergen,ABC,Pharmaceutical industry,"213,989",  12.7%, US$2.35 billion (2021)[1], US$1.54 billion (2021)[1], US$57.34 billion (2021)[1], US$223 million (2021)[1],"40,000","Chesterbrook, Pennsylvania"
10,Microsoft,MSFT,Technology,"198,087",  17.5%, US$83.4 billion (2022), US$72.7 billion (2022), US$364.8 billion (2022), US$166.5 billion (2022),"181,000","Redmond, Washington"
11,Costco,COST,Retail,"195,929",  17.5%, US$6.71 billion [2] (2021), US$5.00 billion[2] (2021), US$59.27 billion[2] (2021), US$17.56 billion[2] (2021),"288,000","Issaquah, Washington"
12,Cigna,CI,Health Insurance,"174,078",  8.5%, US$7 billion (2021)[1], US$5.4 billion (2021)[1],  US$154.889 billion (2021)[2] , US$47.112 billion (2021)[2],"72,963","Bloomfield, Connecticut"
13,AT&T,T,Conglomerate,"168,864",  1.7%, US$23.35 billion (2021), US$20.08 billion (2021), US$551.62 billion (2021), US$183.86 billion (2021),"202,600","Dallas, Texas"
14,Cardinal Health,CAH,Healthcare,"162,467",  6.2%, US$1.77 billion (2020)[2], US$611 million (2021)[1], US$44.45 billion (2021)[1], US$6.33 billion (2020)[2],"46,827","Dublin, Ohio"
15,Chevron Corporation,CVX,Petroleum industry,"162,465",  71.6%, US$21.64 billion (2021)[5], US$15.63 billion (2021)[5], US$239.54 billion (2021)[5], US$139.94 billion (2021)[5],"42,595","San Ramon, California"
16,The Home Depot,HD,Retail,"151,157",  14.4%, US$23.04 billion (2021), US$16.43 billion (2021), US$71.88 billion (2021), US$−1.7 billion (2021),"490,600","Atlanta, Georgia"
17,Walgreens Boots Alliance,WBA,Pharmaceutical industry,"148,579",  6.5%, US$2.3 billion (2021), US$2.5 billion (2021), US$81.3 billion (2021), US$23.8 billion (2021),"258,500","Deerfield, Illinois"
18,Marathon Petroleum,MPC,Petroleum industry,"141,032",  58.5%," −US$12.247 billion (Fiscal Year Ended December 31, 2020)[1]"," −US$9.977 billion (Fiscal Year Ended December 31, 2020)[1]"," US$85.158 billion (Fiscal Year Ended December 31, 2020)[1]"," US$29.252 billion (Fiscal Year Ended December 31, 2020)[1]","17,700","Findlay, Ohio"
19,Elevance Health,ELV,Healthcare,"138,639",  13.8%, US$7.93 billion[1] (2021), US$6.1 billion[1] (2021), US$97.46 billion[1] (2021), US$36.13 billion[1] (2021),"98,200","Indianapolis, Indiana"
20,Kroger,KR,Retail,"137,888",  4.1%, US$3.477 billion (2022)[3], US$1.655 billion (2022)[3], US$49.086 billion (2022)[3], US$9.452 billion (2022)[3],"420,000","Cincinnati, Ohio"
21,Ford Motor Company,F,Automotive industry,"136,341",  7.2%, US$4.5 billion (2021), US$17.9 billion (2021), US$257 billion (2021), US$48.6 billion (2021),"183,000","Dearborn, Michigan"
22,Verizon Communications,VZ,Telecommunications,"133,613",  4.1%, US$32.45 billion (2021), US$22.62 billion (2021), US$366.60 billion (2021), US$83.20 billion (2021),"118,400","New York City, New York"
23,JPMorgan Chase,JPM,Financial services,"127,202",  1.8%, US$59.56 billion (2021), US$48.33 billion (2021), US$3.74 trillion (2021), US$294.12 billion (2021),"271,025","New York City, New York"
24,General Motors,GM,Automotive,"127,004",  3.7%, US$9.324 billion (2021)[2], US$9.945 billion (2021)[2], US$244.718 billion (2021)[2], US$65.815 billion (2021)[2],"157,000","Detroit, Michigan"
25,Centene,CNC,Healthcare,"125,982",  13.4%, US$3.082 billion (2020)[1], US$1.808 billion (2020)[1], US$68.719 billion (2020)[1], US$25.885 billion (2020)[1],"72,500","St. Louis, Missouri"
26,Meta Platforms,META,Technology,"117,385",  37.2%, US$46.753 billion (2021)[3], US$39.370 billion (2021)[3], US$165.987 billion (2021)[3], US$124.879 billion (2021)[3],"71,970","Menlo Park, California"
27,Comcast,CMCSA,Telecommunications,"116,385",  12.4%, US$20.8 billion (2021), US$14.16 billion (2021), US$275.9 billion (2021), US$97.49 billion (2021),"189,000","Philadelphia, Pennsylvania"
28,Phillips 66,PSX,Petroleum industry,"114,852",  75.4%, US$ 1.838 billion (2017)[3], US$ $3.076 billion (2019)[4], US$ $58.720 billion (2019)[5], US$ 25.085 billion (2017)[3],"14,000","Houston, Texas"
29,Valero Energy,VLO,Petroleum industry,"108,332",  80.2%, US$4.572 billion (2018)[1], US$4.156  billion (2018)[1], US$50.158 billion (2018)[1], US$21.667 billion (2018)[1],"9,804","San Antonio, Texas"
30,Dell Technologies,DELL,Technology,"106,995",  13.6%, US$5.144 billion (2021), US$3.505 billion (2021), US$123.415 billion (2021), US$7.553 billion (2021),"133,000","Round Rock, Texas"
31,Target Corporation,TGT,Retail,"106,005",  13.3%, US$6.539 billion (2021), US$4.368 billion (2021), US$51.248 billion (2021), US$14.440 billion (2021),"450,000","Minneapolis, Minnesota"
